t,l,EEG Fp1_Delta.dB,EEG Fp1_Alpha.dB,EEG F3_Delta.dB,EEG F3_Alpha.dB,EEG C3_Delta.dB,EEG C3_Alpha.dB,EEG P3_Delta.dB,EEG P3_Alpha.dB,EEG O1_Delta.dB,EEG O1_Alpha.dB,EEG F7_Delta.dB,EEG F7_Alpha.dB,EEG T3_Delta.dB,EEG T3_Alpha.dB,EEG T5_Delta.dB,EEG T5_Alpha.dB,EEG Fc1_Delta.dB,EEG Fc1_Alpha.dB,EEG Fc5_Delta.dB,EEG Fc5_Alpha.dB,EEG Cp1_Delta.dB,EEG Cp1_Alpha.dB,EEG Cp5_Delta.dB,EEG Cp5_Alpha.dB,EEG F9_Delta.dB,EEG F9_Alpha.dB,EEG Fz_Delta.dB,EEG Fz_Alpha.dB,EEG Cz_Delta.dB,EEG Cz_Alpha.dB,EEG Pz_Delta.dB,EEG Pz_Alpha.dB,EEG Fp2_Delta.dB,EEG Fp2_Alpha.dB,EEG F4_Delta.dB,EEG F4_Alpha.dB,EEG C4_Delta.dB,EEG C4_Alpha.dB,EEG P4_Delta.dB,EEG P4_Alpha.dB,EEG O2_Delta.dB,EEG O2_Alpha.dB,EEG F8_Delta.dB,EEG F8_Alpha.dB,EEG T4_Delta.dB,EEG T4_Alpha.dB,EEG T6_Delta.dB,EEG T6_Alpha.dB,EEG Fc2_Delta.dB,EEG Fc2_Alpha.dB,EEG Fc6_Delta.dB,EEG Fc6_Alpha.dB,EEG Cp2_Delta.dB,EEG Cp2_Alpha.dB,EEG Cp6_Delta.dB,EEG Cp6_Alpha.dB,EEG F10_Delta.dB,EEG F10_Alpha.dB
20.0,1,-74.81212308001277,-89.43196771343156,-83.60959374035559,-93.63422953803017,-76.24746266183098,-90.41211161412966,-74.97686350128224,-89.63637572446106,-73.88601999636842,-88.45559015400605,-78.97363467242117,-92.16314825915217,-75.81070414333563,-89.51831917715876,-74.64141740747871,-88.6207099029863,-77.68780073721882,-90.8681069012082,-77.66038957771717,-90.74052654026629,-75.32820802782659,-90.06420822502571,-74.90130863538548,-89.71533710300228,-73.44151200941891,-88.32164920128764,-83.52821792120832,-95.06972873028525,-76.67348841894471,-89.9491349008922,-75.05826568534972,-89.99066374960609,-73.61870130745959,-87.45048545407862,-81.18481234817929,-91.2471923241371,-75.90688530795472,-90.63497553066728,-74.74074557530712,-89.98034201097124,-74.3338486612077,-88.82856989378712,-78.1320923892881,-90.09661515219804,-74.34891486189844,-88.5404579145627,-73.06038828969962,-88.61897234219126,-77.30117819129259,-90.40957512236561,-76.6942972635685,-90.79234172367308,-75.64910555413388,-90.06212946883443,-74.3986385149891,-89.7210087575549,-72.4156401860376,-86.87050033497567
22.0,1,-82.19232979857964,-94.21974579838256,-89.25971360612712,-94.66678930052174,-85.76629361786246,-95.74351701931568,-83.54969614928959,-93.8398319279929,-82.77645152919865,-92.10623229454059,-81.37765249352974,-96.03435307172484,-85.18079345044207,-95.27088764372338,-84.49582219342149,-93.88155022933489,-88.32373900409374,-96.32050273495094,-86.12272899828761,-95.85695366152032,-84.37510506466283,-95.22707171804745,-84.86838782083882,-94.93493215777463,-82.57642628892512,-94.75150737713571,-91.2377662037497,-98.33447998039506,-85.36918142098708,-95.81268498473334,-84.70334031925672,-94.83712881720051,-82.45035507120323,-93.52477422903141,-86.1530798330014,-92.73897183335666,-83.3395901239459,-94.13291127460118,-82.5720890352332,-93.66868385467775,-81.80669013559955,-92.70618440505058,-79.368742626293,-94.19111766255654,-82.3297618477524,-92.77218761795444,-81.25351950279573,-92.07927187462383,-85.32254023496257,-95.34078797114373,-84.15262197655886,-94.3877731519413,-83.12932111686352,-94.73988510879528,-82.17489975046374,-93.16843317938891,-79.53881874898426,-91.91814518226795
24.0,1,-74.89715956472352,-92.68963340585627,-82.90300080052094,-94.91911782086363,-76.92267213167169,-94.73339832363477,-75.67352391655564,-92.35655758818953,-74.0744146955865,-88.52388902415207,-81.68074495471811,-95.01915806566655,-76.6945402311594,-92.18753043169073,-74.1334072651269,-90.2563395952646,-77.25597733554586,-95.5490264881716,-78.39805148126099,-94.18850097478482,-76.26152099498617,-93.34620813455764,-76.00449696987984,-92.25402306674839,-74.78564263787159,-90.39516844557448,-83.96660509771989,-96.4655509783354,-76.63880800855969,-95.16149861604549,-75.83770487701622,-93.04479413880173,-74.1245210321698,-92.25585323347471,-81.60034281956642,-91.88924957267973,-75.58365151175734,-94.24600761863643,-74.80085935147052,-92.22551450382836,-74.03730294089472,-89.16611927486895,-85.62197465859498,-94.17249018375115,-74.76282780825592,-90.89692898038699,-72.92404661941666,-89.01678158012736,-77.44765386219085,-94.74781560335583,-76.97474670480358,-93.92206944053459,-75.8838985416675,-93.53569438715304,-74.36121569547954,-92.06471124791773,-72.74862013314954,-88.5601994229857
26.0,1,-73.18713773980102,-91.96156893540834,-82.2737495264294,-92.78988695991247,-75.96362153673111,-92.14179607340128,-74.99961974750397,-90.84841011837116,-72.93341798707867,-89.2993341625094,-77.35128500166327,-89.09127961113158,-74.85854056158576,-89.66300589844792,-73.22663565588117,-90.06695014789145,-76.72533502083324,-93.13675315949787,-76.72512044420094,-91.70273022517945,-74.98900787494156,-91.70532714276725,-74.46469745476425,-90.80237182183834,-74.0966098842473,-88.52759319686582,-82.62166034326997,-96.47217080279012,-75.77790403607052,-93.20193862212491,-74.79456996240613,-91.35907988633149,-74.33128433360136,-89.42171537524064,-76.05665354671602,-89.70990610021025,-74.42698041026213,-91.99432684384402,-73.57333787170475,-90.29447540273034,-72.65050207134084,-89.59613259951622,-70.67405265241915,-89.41168331676354,-71.12523887637403,-88.65964846414848,-71.71852791041621,-86.91906656711876,-76.03431833410889,-92.70921752898528,-73.82060713435055,-91.19623019761298,-74.95745832704364,-91.60476607646328,-72.88186814388479,-89.61202785408013,-69.325114955418,-87.48486763356269
28.0,1,-72.40835740697747,-91.10667081077113,-84.6549793014289,-94.12832879877728,-75.19887066186384,-92.78040265880294,-73.1621152076889,-90.02181844622343,-71.84033135737263,-88.23683628717981,-80.49036106490416,-90.80495963312256,-75.26977052774026,-90.95619193350106,-72.99218229498594,-88.33162491492509,-76.22474919849401,-94.19940002419196,-77.71264288319807,-93.10406838066015,-73.5137664002545,-91.52764794944433,-74.3143298007388,-90.81678319983988,-74.63585707662641,-88.97363240358138,-82.17198219678166,-96.73661184004641,-74.60145586901395,-92.79003914990858,-73.25812103591926,-90.55906195656416,-73.27839739587122,-89.88809623274429,-78.58279808806995,-92.59262227780931,-73.8541787915083,-91.52797518197055,-72.49825202985558,-89.37613805270703,-71.44049805195814,-87.04013967698556,-76.67319801242648,-89.71526121094236,-71.72737327707503,-89.656720807754,-70.66605618051413,-86.14540554123693,-74.66824583151872,-92.28422182725788,-73.7885485621357,-91.59125469992391,-73.16650615354897,-90.66061957326153,-71.98405091738057,-89.56287635272282,-68.78540442905634,-88.14267294282969
30.0,1,-75.68287245812986,-91.28035780410629,-79.73515554525864,-91.53929451535177,-75.61264851201139,-94.49263388743937,-74.44600005022225,-92.31621109073023,-73.01964569639354,-89.94218361452101,-74.25023588032411,-90.0981680971374,-73.66121767332373,-90.53496835644114,-72.81637427534896,-90.3886944608778,-76.65330539798032,-95.64430973990312,-75.34591041617483,-92.97266597012168,-75.14256121944211,-93.45037709526473,-74.3641868048885,-91.43122764176681,-71.25151517803106,-89.47213244542806,-84.23540393429944,-97.24556921923988,-76.12484004257244,-95.04896950415653,-74.85534809823638,-93.02449400180416,-73.08025267540272,-89.85918323154922,-82.27453246738678,-90.820598157204,-77.56953998787569,-93.91461443343012,-74.83900270014155,-92.14952111505826,-73.45101038319689,-90.14209394777295,-75.678517716177,-89.37067890191503,-75.39723833911968,-90.70664441627967,-73.09813988085831,-90.37932958081127,-78.18949926198302,-95.59690362393255,-77.64966786432781,-93.03961606946942,-75.61229040509018,-93.67250179961134,-75.04896787719369,-92.33271973022048,-74.32903074129553,-90.74887449535754
32.0,1,-74.37138550584359,-93.72140079321396,-83.46876113865895,-93.53716973335267,-75.77187943004853,-93.79259765212791,-74.49520457008505,-92.0373016909735,-74.07460903945784,-91.16114686357888,-79.8671970861364,-91.66677680318404,-73.6704488380258,-89.4109658300979,-73.34199893650302,-90.38237345180853,-76.69925832202384,-95.39562424313468,-76.21187443687384,-92.28658686862617,-75.32563435671214,-93.86246722815245,-74.52409097620644,-90.44074317278839,-72.24215640767922,-90.45042765588592,-83.06043137363659,-97.11802323874323,-76.31314493446746,-95.00067692290028,-75.19456099400323,-93.47535155014506,-73.59334285854484,-91.28260059871579,-82.47951567989419,-92.20973965063533,-75.99705689656405,-93.70867050822505,-75.04015566198146,-92.3658556763076,-73.36497684095622,-91.54451293223039,-84.21680284478172,-93.16743617585205,-74.49190270950241,-90.42521231927228,-73.16168512104458,-89.90313896604289,-77.28801273443317,-95.27915931862707,-77.5177266229693,-92.64902784145445,-75.40693121021452,-93.80246634492349,-74.70451058755964,-91.55981201777468,-72.87180751281214,-92.6888335407061
34.0,1,-75.05438220869588,-93.4769398874561,-88.42943702988713,-93.49919146530806,-79.52277105651538,-95.52141758496292,-76.42325930445132,-93.5011008333081,-75.49327932087833,-91.33641627290163,-79.32081337883588,-94.85449563592532,-80.05370563072084,-93.98085903432124,-76.50359984883472,-91.89362901381801,-80.16986623387588,-96.46870039992336,-82.04656402865636,-95.82014806661812,-77.00554217695785,-95.50052634935598,-77.78243329744767,-93.28249427639717,-77.85359577914362,-92.30413171483639,-86.74479381305757,-97.20512269172431,-78.06581799102686,-95.98298535807584,-76.60335508105369,-94.66073498463273,-76.06457152286293,-92.58139381462897,-83.28887845077668,-90.552355093216,-77.87074200666413,-95.24297360603624,-76.37113614639799,-93.65471501793478,-75.15168763705337,-91.3815941746296,-81.32121441716166,-92.62989264471528,-77.38707533571271,-92.95168687300516,-74.88622743576474,-91.42866124577013,-78.98187338104881,-96.02095852443705,-79.02279180747459,-95.24563569500418,-76.3164408750961,-94.67681119612547,-76.67818120579197,-94.51612823774374,-75.92193784836282,-91.75293839412777
36.0,1,-77.00885218577844,-93.16002870644701,-85.58869009699487,-93.20099371821904,-79.28886421549652,-94.76852939645198,-78.25667358814454,-93.66176185573771,-76.25188763313793,-91.312290888621,-78.77449121660037,-92.96697080082762,-78.62591945044394,-93.491180873618,-76.51759465806451,-91.57112856920149,-79.86595985820438,-95.766909751751,-80.63845838828071,-94.9158558229295,-78.07002580126218,-94.55896047771199,-77.95166004900776,-93.88628205516872,-77.72487030259755,-92.04711390667941,-87.37056737691319,-97.71928032605695,-78.28918065205178,-96.04265183788605,-77.50843803773594,-94.82363574998784,-77.20204372547693,-91.99147637262102,-81.9737136516018,-90.1068271365892,-77.71858411849313,-95.33353669279856,-76.50559560217124,-95.27560137881099,-75.77657194445759,-92.78746038753974,-77.65613050859545,-91.55059857064849,-76.25084416689491,-91.83030854048363,-75.37507356088486,-89.00310843515726,-79.40648642117455,-96.50230947485005,-78.09494269296673,-93.51033528102857,-78.18052628958255,-95.80084911573833,-75.99829116015376,-93.37561356566674,-75.72285700242398,-90.25482901168992
38.0,1,-75.1137700358029,-92.39514855724025,-81.78087048487383,-94.07189586235489,-75.52919944910101,-92.58671638729196,-74.47276607888108,-91.49036615556398,-73.85913627512514,-89.93403821336024,-80.54847645293586,-94.35767787256003,-74.38857863203876,-91.37396898213132,-72.88223080236368,-89.94089720575501,-76.33109227444706,-93.55217981876633,-76.31913384041816,-93.14434032705324,-75.01314821938021,-92.21474933590625,-74.1202803322687,-90.92703516642698,-72.47147409149005,-90.45060770918865,-81.2414530452644,-96.37057190817542,-76.59156224217843,-92.45197163260349,-74.89248004622019,-92.49486043840395,-73.52565790091921,-90.71735028718615,-81.66018058248882,-91.42158395538003,-75.71511995652536,-92.10208512342885,-74.09281968261763,-92.07359500857059,-73.48632127436835,-91.36746414358845,-80.5238735167032,-92.88230155452248,-73.8218276555892,-88.5354195778645,-72.39963109686596,-88.56071966166594,-76.96941842140325,-93.36573406498817,-75.7536183437614,-91.18071533211727,-75.63391806351095,-92.5892603703548,-73.81003799383666,-90.80629162091253,-73.65316334750358,-89.07219779214762
40.0,1,-74.16652427098389,-91.97099910516322,-79.6740127145272,-94.79656736562669,-75.35369373164565,-92.70797010227957,-72.98786061427292,-90.59916669657376,-72.49743378075213,-89.651371538491,-72.70918640849968,-91.96339638464315,-73.26090286077486,-90.64624800296953,-72.3335017084336,-89.96578233839905,-76.99733649975937,-94.04571144114496,-75.65633550170482,-92.52599425583028,-74.44616798928935,-92.29080255788784,-73.58990913056387,-90.98409491439816,-71.41648042702718,-89.3505473344512,-85.3146978861391,-96.70203225082616,-75.89374619756032,-93.61543535770677,-73.89009181249745,-91.6017922821008,-72.85835513824019,-90.6058670579823,-81.86232919039293,-90.48900464133062,-75.5628360670708,-92.47645693837684,-74.01671168363313,-91.20028712495022,-72.81021594724652,-89.88365236086446,-73.62059402621365,-90.42407739536887,-74.4264905111022,-89.50215025877755,-72.83691210274787,-88.27454966348137,-77.04067936426004,-93.7927655666033,-76.79388121016581,-93.26895775465077,-74.49341115428395,-91.82925382282461,-74.24359940732616,-91.05670098602675,-72.99392673085872,-89.32812640010313
42.0,1,-77.33172437988844,-91.2511865783423,-86.7201842683007,-95.06152357233957,-78.3294220648028,-94.02649056222971,-76.76940030830791,-93.07541892290658,-74.9695170901455,-91.07949240222385,-84.06910997954802,-96.15645482042575,-76.51092613276772,-93.58442474061025,-75.52827023411209,-91.51816820459035,-79.73022382292942,-94.81053297985467,-78.79771250376882,-95.63269259184536,-77.24836440783383,-93.6368191308428,-76.56223609805724,-93.21642157409727,-75.52775738846594,-92.8368130033008,-86.95100741625468,-96.84209378351403,-78.64856189650263,-94.14000185295612,-76.76837677099581,-92.96573762382457,-74.98127819310967,-92.06412807717814,-83.90300357300029,-91.83528567693745,-77.5524712619876,-92.68900669620116,-76.55640399390414,-92.2543686255589,-75.01389821857752,-91.01023144151196,-82.39143959402567,-92.07003905377336,-75.6949579338596,-90.46194707178222,-74.97162371470576,-90.23465126008112,-79.2524725213421,-93.9641745757705,-78.94484000804012,-91.96806598584564,-77.4713068803736,-93.03707888278174,-76.27286651507298,-91.75444152341638,-74.16105843635323,-90.22842424923071
44.0,1,-74.16922560098308,-93.7090837051071,-85.54236375648594,-95.45843958709082,-76.00129863863776,-94.01904402070953,-73.89715029175504,-92.56715154413885,-73.07678685558116,-90.75842234558249,-84.01469005111993,-94.47605652118514,-75.27927460217897,-93.39625550658442,-73.26226403096416,-91.62859415317544,-77.4546412470633,-95.52289577532406,-77.84098408369745,-94.13567822510709,-74.67683955678449,-93.81801887282944,-74.60427252379472,-92.8421823974841,-74.07805210808567,-92.60512547187874,-84.9251655802091,-98.06259393587234,-76.14984573800554,-94.49316289840601,-74.31435705723251,-93.39472415727955,-73.30168969238595,-92.42958430988311,-82.6115566697272,-92.35284497686214,-75.1913469954022,-93.35815903149017,-73.98667024436543,-93.4711179814708,-72.33037303606847,-92.28779517093801,-78.04314157112364,-93.9912777419525,-74.46488287374275,-92.71047057070194,-72.36141771980856,-90.17232417265822,-76.73304407847182,-94.75945970829082,-77.0927929928936,-92.76164856801778,-74.49939470269926,-93.98793187947095,-74.10979889116186,-92.8664492902511,-72.44596758194244,-92.27027057266346
